state,locale,entry
Massachusetts,Boston,"A group of several hundred protesters gathered in Peters Park on Thursday, May 28, in what began as a peaceful demonstration, but escalated into a clash with police after several dozen protesters crowded around the nearby Precinct 4 police station. Several protesters were pepper sprayed. The following day, a second large group of protestors clashed with city police, injuring four officers and resulting in ten arrests. On Sunday, May 31, three large protests were held in the city, with the total number of protesters being in the thousands. Though all three began peacefully, violence broke out by nightfall, with protesters throwing bottles, rocks, and bricks while police used pepper spray and batons. Many stores were looted and damaged, twenty-one police cruisers were burned or damaged, seven officers were hospitalized (with more being treated for injuries in the streets), and over forty arrests were made. On June 2, it was reported that the damage to local Boston businesses which were looted during the May 31 protests was ""destructive."""
Massachusetts,Brockton,"On the evening of June 2nd, hundreds of protesters gathered throughout the city. The protest began as a ""peace rally"" outside of the middle school, but protesters clashed with police outside of the city police's headquarters by nightfall. Protesters threw water bottles and fireworks, while police deployed tear gas. Both Massachusetts State Police and National Guard forces were deployed to aid the city police, and the confrontation resulted in the MBTA commuter rail not stopping at the Brockton station."
Massachusetts,Cape Cod,About one-hundred people rallied at the Hyannis Village Green on May 30. Vigils were held outside the West Barnstable train station on May 30 and at the Falmouth Village Green on May 31.
Massachusetts,Fall River,"Organizers held a ""peace walk"" on Sunday, May 31, marching throughout the city before ending at Government Center. The walk remained peaceful the whole time. However, an unaffiliated person did vandalize the WLNE-TV news van with the expression RIP George."
Massachusetts,Framingham,"On Thursday, May 28, a group of about thirty protesters peacefully gathered and crowded along sidewalks in the city."
Massachusetts,New Bedford,"A group of about twenty-five people began peacefully marching around the city in the early afternoon on Saturday, May 30. The crowd gradually grew to a size of almost one hundred protesters, until one of the leaders asked the crowd to disperse at around 9:30 pm and begin again the next day. A second, smaller crowd gathered and resumed protesting the following morning."
Massachusetts,Newton,"Dozens of people peacefully protested at the lawn of Newton City Hall. Mayor of Newton Ruthanne Fuller, School Committee Chairwoman Ruth Goldman, and City Council President Susan Albright were also in attendance."
Massachusetts,Oaks Bluff,"On May 31, scores of people protested at Waban Park on Martha's Vineyard. The mother of Danroy Henry who was shot by Pleasantville police in 2010 said ""nothing has changed"" since then."
Massachusetts,Springfield,"Several hundred people peacefully protested outside of the city police's headquarters on Friday, May 29."
Massachusetts,Worcester,"On June 1, thousands of people peacefully participated in a march from the City Hall commons area to the courthouse. Hours later, a group of protesters in the Main South neighborhood met a police barricade, which led to the crowd being dispersed into two directions. A group that continued down main street were said to have set off fireworks and thrown rocks at officers, leading to tear gas and rubber bullets being fired into a crowd of about 70 people. Multiple people were taking into custody and at least one business was reported looted."
Michigan,Ann Arbor,"Hundreds of protesters gathered on the central square of the University of Michigan on May 30, with a series of activists and community members using a megaphone to speak about racial injustice and police violence. That day and for several days beforehand, protesters also marched through the streets of Ann Arbor. These protests were related to an event in neighboring Ypsilanti on May 26, in which a police officer had been filmed punching an Ypsilanti woman and then taking her into custody where she was held for several days."
Michigan,Detroit,"Hundreds protested in downtown Detroit. Some protesters were seen throwing items at police officers and taunting them. At least 61 people were arrested. On Friday night, an unknown assailant fired shots into a vehicle downtown around 11:30 pm; a 21-year-old man in the vehicle was hit and died from his injuries at a local hospital. It was initially thought that this man was 19 years old and that the assailant fired from a vehicle; this was later proven otherwise. On Sunday night, mayor Mike Duggan imposed a curfew from 8 pm to 5 am Monday and more than 100 people were arrested."
Michigan,Flint,"Hundreds of protesters shut down a main road in the city on May 30. Genesee County Sheriff Chris Swanson spoke to the crowd saying he wanted to stand in solidarity with the protesters. On June 1, hundreds gathered for a peace rally at Flint City Hall. One protester said: ""Justice for George, this is all for George."""
Michigan,Grand Rapids,"Thousands of demonstrators marched in downtown Grand Rapids on Ssturday, May 30. The protesters initially gathered at Rosa Parks Circle for a silent protest while other demonstrators moved to the headquarters of the Grand Rapids Police Department where interactions intensified. Grand Rapids police chief Eric Payne spoke to protesters[when?] stating ""I've heard you my entire career. Black lives do matter"", with clashes later intensifying with protesters beginning to throw objects at police. Riot police dispersed demonstrators with tear gas and flash bangs. Into the early morning hours of May 31, looting and fires began to spread through downtown Grand Rapids. More than 100 buildings were damaged and fires were set to several cars.For the first time in Kent County history, prosecutors began to file riot charges on June 1 against particular persons accused of breaking windows and stealing property in the riot of previous days."
Michigan,Kalamazoo,Two protests occurred on Saturday 5/30/20 totaling in over a thousand protesters. Both Protests shutdown major traffic intersections. Both were peaceful.
Michigan,Lansing,Several thousand people marched from East Lansing to the Capitol building on May 31. The city of Lansing enacted an immediate curfew that lasted until June 1.
Michigan,Marquette,"A number of protesters gathered outside the city's post office on May 29. The following day, a protest march started at Northern Michigan University and proceeded towards the city's downtown; a protester briefly stood on the hood of a city police SUV, but no arrests were reported. On May 31, over 150 people took part in another protest that covered 20 blocks and ended at a county sheriff's office."
Michigan,Saginaw,"On May 30, dozens of protesters raised awareness near the Fashion Square Mall. A demonstration called “Stand with the Ghost of George Floyd” started on May 31. Protesters intend to occupy an area in front of the Saginaw Police Department for three days straight."
Michigan,Troy,"On June 1st, about 100 protesters marched down Coolidge Highway while chanting ""No justice, no peace! No racist police!"" At the end of the march, protesters asked police to take a knee, with 3 officers doing so."
Michigan,Ypsilanti,"On May 28, about 100 protesters gathered at the Washtenaw Country Sheriff's Office to protest the incarceration of local woman Sha'Teina Grady El after a police officer had been filmed punching her on May 26, the day after George Floyd's death. These protests were closely linked to the protests in neighboring Ann Arbor that week."
Minnesota,Biloxi,"On Saturday, May 30, about 50 people protested peacefully with signs and bullhorns along Beach Boulevard in front of the Biloxi Lighthouse. More than 60 demonstrated in the same place on Sunday, May 31, as passing motorists honked horns in solidarity."
Minnesota,Hattiesburg,"About 30 protesters, waving signs and chanting, marched peacefully on Sunday down Hardy Street, escorted by city police cars. An organizer of of the event marched with her hands cuffed symbolically behind her back."
Minnesota,Jackson,"On Friday, May 29, About 25 demonstrators peacefully protested in front of the Mississippi state capitol and marched through downtown Jackson."
Minnesota,Oxford,"About 300 people peacefully demonstrated and marched around The Square for a couple of hours on Saturday afternoon. That same afternoon, Ole Miss university police arrested a white public school teacher for vandalizing a Confederate statue on campus with spray paint."
Minnesota,Petal,"On May 28 at least 200 people protested outside Petal City Hall on Friday night, demanding that Mayor Hal Marx resign after he made a comment defending the police regarding George Floyd's death and saying ""I didn’t see anything unreasonable"". One elderly woman walked three miles with symbolic chains around her feet to get to the protest."
Minnesota,Tupelo,Several hundred people protested peacefully at the Tupelo Fairpark on May 30.
Mississippi,Biloxi,"On Saturday, May 30, about 50 people protested peacefully with signs and bullhorns along Beach Boulevard in front of the Biloxi Lighthouse. More than 60 demonstrated in the same place on Sunday, May 31, as passing motorists honked horns in solidarity."
Mississippi,Hattiesburg,"About 30 protesters, waving signs and chanting, marched peacefully on Sunday down Hardy Street, escorted by city police cars. An organizer of of the event marched with her hands cuffed symbolically behind her back."
Mississippi,Jackson,"On Friday, May 29, About 25 demonstrators peacefully protested in front of the Mississippi state capitol and marched through downtown Jackson."
Mississippi,Oxford,"About 300 people peacefully demonstrated and marched around The Square for a couple of hours on Saturday afternoon. That same afternoon, Ole Miss university police arrested a white public school teacher for vandalizing a Confederate statue on campus with spray paint."
Mississippi,Petal,"On May 28 at least 200 people protested outside Petal City Hall on Friday night, demanding that Mayor Hal Marx resign after he made a comment defending the police regarding George Floyd's death and saying ""I didn’t see anything unreasonable"". One elderly woman walked three miles with symbolic chains around her feet to get to the protest."
Mississippi,Tupelo,Several hundred people protested peacefully at the Tupelo Fairpark on May 30.
Missouri,Cape Girardeau,"On May 31st, over 100 protesters came to Freedom Corner to protest for Black Lives Matter."
Missouri,Kansas City,"Hundreds of protesters marched from the Country Club Plaza to the Westport[when?], where police used pepper spray. Some protesters sat in the middle of the street, closing several streets near the intersection of J.C. Nichols Parkway and Emmanuel Cleaver II Boulevard for hours. Some protesters blocked a window and picked up a type 3 traffic barricade, leading police to believe they would use it to commit violence."
Missouri,Springfield,"On May 30 and 31, hundreds of protesters marched down Battlefield Road, carrying signs with messages protesting racial injustice. At the intersection of Glenstone and Battlefield, a group lay down on the road for several minutes screaming ""I can’t breathe!"" At least two protesters said they felt supported on Sunday by the Springfield police. One protester was arrested on Sunday by the police at his request to create awareness, but was later released."
Missouri,St. Louis,"On Saturday around 1,500 protesters marched downtown[when?]. Protesters shut down part of Interstate 64 and Interstate 70, some setting off fireworks. Protesters also blocked traffic in the downtown. One protester died after being dragged by a FedEx truck[when?] as it tried to slowly drive through North Broadway and O'Fallon Street. The driver of the truck attempted to drive away after two men displayed guns at him and others began to take items from his truck. On the night of Monday, June 1, four St. Louis police officers were shot during protests. A spokeswoman for the department said the officers were ""conscious and breathing"" and their ""injuries are believed to be non-life threatening""."
Montana,Billings,About 50 primarily high school and college-age protesters stood in front of the Billings Police Department's downtown station on May 30.[citation needed]
Montana,Bozeman,"Approximately 2,000 protesters marched peacefully from Bogert Park to the Gallatin County Courthouse[when?]."
Montana,Great Falls,"On May 31, A few hundred people gathered in Great Falls to protest the death of George Floyd"
Montana,Helena,About 150 people in Helena gathered in front of the Montana State Capitol building[when?].
Montana,Missoula,Hundreds of people peacefully protested outside the Missoula County Courthouse on May 29.
Nebraska,Kearney,"On Saturday, May 30, people gathered near downtown Kearney to protest the death of George Floyd.  The peaceful protesting continued with over 100 participants on Sunday, May 31, when protestors gathered at the Museum of Nebraska Art, marched to the main intersection of the town, and back.  The May 31 protests included recognition of Omaha resident, James Scurlock, who was murdered at a protest in Omaha the previous night. Small groups of protestors continued to gather throughout the first week of June."
Nevada,Las Vegas,"On May 29, 2020, approximately 200 to 300 people rallied in the area of Las Vegas Boulevard and Tropicana Avenue. Hundreds of protesters gathered on the strip leading to the police arresting 80 people, including 2 journalists. Some protesters threw water bottles and rocks at police. 12 police officers were injured during the gathering. The following day, crowds marched to the Regional Justice Center while a separate crowd grew near the Container Park in Downtown Las Vegas. On June 2, the Las Vegas Metropolitan Police announced investigations into two separate shootings involving officers at the 2800 block of Las Vegas Boulevard South and the federal courthouse."
Nevada,Reno,"On May 30, 2020 at least 1,000 people participated in a protest in downtown Reno. Protesters drew graffiti, ignited a small fire, and burned a flag. Police vehicle windows were smashed as well as windows of a commercial building. People broke into City Hall and started a fire inside. While no arrests have been made, the city government issued a mandatory curfew, effective immediately. Mayor Hillary Schieve declared a state of emergency, and Governor Steve Sisolak activated the Nevada National Guard."
New Hampshire,Conway,"On May 31, about 200 people protested in Conway."
New Hampshire,Dover,Hundreds came to a vigil that was held on June 1st for George Floyd.
New Hampshire,Dublin,A protest occurred on May 30.
New Hampshire,Keene,Protesters rallied in Center Square on May 30.
New Hampshire,Manchester,"On May 30, 2020, approximately 800 people rallied in downtown Manchester, beginning their protest at Veterans Park, marching down Elm Street, and ending their march back at the park. Although the protests were peaceful, a tense moment happened at around 1:30 PM when two men in a pickup truck with a blue Trump 2020 flag attached to it drove up to and argued with protesters, with one of the men exiting the truck and brandishing a handgun. Shortly thereafter, the two men—aged 43 and 19—were arrested and charged with felony riot and felony criminal threatening."
New Hampshire,Peterborough,A protest occurred on May 30.
New Jersey,Asbury Park,Hundreds protested from 5 to 8pm on June 1. The city announced a curfew starting at 8pm that same night.
New Jersey,Atlantic City,About 100 people protested near Tanger Outlets on May 31.
New Jersey,Camden,"Hundreds demonstrated in a peaceful march to protest police brutality in the city[when?]. Camden County Police marched alongside demonstrators. The police chief helped hold a ""Standing in Solidarity"" banner at the front of the march."
New Jersey,Englewood,"More than 1,000 people rallied in Mackay Park before peacefully marching to the Englewood Police Station[when?]."
New Jersey,Flemington,About 100 people protested at the borough park behind the historic Hunterdon County Courthouse. Mayor Betsy Driver posted on Facebook: “This event has not been issued a permit and the leadership behind it is unknown.”
New Jersey,Freehold Township,"About 35 people displayed signs along a highway in a demonstration called ""March on Route 9"" on May 30."
New Jersey,Glen Ridge,More than 100 protesters assembled together on May 31.
New Jersey,Haddonfield,"On May 31, more than 300 protestors marched through downtown Haddonfield in protest of police brutality."
New Jersey,Jersey City,"Hundreds marched to the South District police precinct organized by the ""Black Men United Coalition"" on June 1. Another organizer said that if looters can change the narrative surrounding protests around the country, ""bad cops"" can do the same for law enforcement."
New Jersey,Long Branch,"Hundreds of protesters gathered at the Pier Village shopping center to chant and speak out about police injustice. At one point, they broke the chanting to kneel in silent unison in front of police."
New Jersey,Millburn,Approximately 150 protesters waved signs along Millburn Avenue on May 31.
New Jersey,Morristown,"On May 30, approximately 200 to 300 people drove and marched peacefully through Morristown and neighboring Morris Township."
New Jersey,New Brunswick,"On May 30, some 300 protesters shouted ""Black Lives Matter!"" and ""No Justice, No Peace!"" at Feaster Park where the shooting of Barry Deloatch occurred in 2011."
New Jersey,Newark,"A crowd of at least 5,000 marched peacefully down Market Street on May 30 at a rally organized by ""People's Organization for Progress."""
New Jersey,Ocean City,"On June 2, protesters from Somers Point peacefully marched to the public safety building, police spoke to the crowed, took a knee and joined them in nine minutes of silence. The march continued onto the police station, protesters laid on the ground and chanted."
New Jersey,Paterson,A rally intended for George Floyd was attended by family members of Jameek Lowery who died after an encounter with the Paterson Police in 2019[when?].
New Jersey,Rio Grande,"On June 1, protesters met at the corner of Route 47 and Route 9 chanting “Black Lives Matter” and “I can’t breathe""."
New Jersey,Somers Point,"On June 2, protesters gathered in Somers Point and peacefully marched over the 9th Street Bridge towards Ocean City."
New Jersey,South Brunswick,More than 500 protesters gathered at the Crossroads North Middle School on June 2. The large group marched along Georges Road to Route 522 and back again.
New Jersey,Toms River,"On June 2, protesters gathered at a shopping center on Route 37 and marched peacefully with police to the Ocean County courthouse."
New Jersey,Trenton,"Several groups including Black Lives Matter gathered at the New Jersey Statehouse on May 30. Later that evening, violence and looting erupted in Downtown Trenton when various businesses were broken into and multiple police vehicles where set on fire or stolen."
New Jersey,Willingboro,"A lone man has come each day May 27–30 to a corner across from a mini-mall in his small Burlington County hometown holding a sign that says ""Stop Black Genocide"". He moved back home from Atlanta just to do this. He has been joined by others day he has been joined by others; on May 30, the number present was twelve."
New Mexico,Albuquerque,"Hundreds of people protested, and tear gas was deployed, but no one was injured[when?]. Part of the city was shut down. Several shots were fired from a vehicle in the area of Wisconsin and Central, while a female sergeant was approached by several people and had her vehicle damaged. Four people were taken into custody. Several rioters were seen on camera approaching vehicles and were attempting to damage the vehicles and drag civilians out of their cars. One vehicle in particular was driving around firing shots. It is unclear how many shots were fired by that specific vehicle, though shot spotter technology determined that there were about 33 total registered reports of shots fired in the area. Police were able to initiate a traffic stop and take four individuals into custody, including one who initially fled on foot. While officers were trying to process the scene, a group of people started to cause problems for the officers. One person allegedly used a baseball bat to hit several police vehicles, breaking the windows."
New Mexico,Carlsbad,About 80 protesters demonstrated peacefully at the Eddy County Courthouse in the early evening of May 30.
New Mexico,Las Cruces,About 40 people protested peacefully at the intersection of Main Street and Picacho Avenue in the afternoon of May 30.
New Mexico,Roswell,A protest occurred on May 30.
New Mexico,Santa Fe,About 250 people protested at the state capitol.[citation needed]
New York,Asheville,Hundreds of protesters shut down parts of I-240 near the Captain Jeff Bowen bridge on May 31.
New York,Charlotte,"Hundreds of protesters marched down Beatties Ford Road on May 29. Some protesters threw rocks and bottles at police, smashed the windows of police vehicles and jumped on them, and stole a bike from an officer. Police used pepper spray bullets to break up the riot. Some protesters also smashed store windows and looted in the University Park Shopping Center. On May 30, the protest grew and gathered in Uptown Charlotte, blocking traffic on Interstate 277 and later through the downtown district. The Charlotte-Mecklenburg Police Department fired tear gas and rubber bullets into the crowds. The city was also placed under a State of Emergency. City Councilman Braxton Winston was among those arrested Friday night."
New York,Durham,A peaceful protest occurred in Durham on May 30. About 100 protesters marched to police headquarters on May 30.
New York,Fayetteville,"A peaceful protest was organized for 3 p.m. on May 30. Hundreds marched down Skibo Road. Rapper J. Cole spoke to the crowd. It remained non-violent until that evening, when protesters burned a U.S. flag in front of the historic Market House before vandalizing and lighting fires in it."
New York,Goldsboro,"A peaceful protest was held in Goldsboro on the evening of May 31 until roughly 10 p.m. The protest started on Center Street before moving to the Wayne County, North Carolina courthouse and then the local police station. ""Hands Up, Don't Shoot"", ""Black Lives Matter"" and ""no Justice, No Peace"" were the most common chants made among protesters. No vandalism was reported."
New York,High Point,"Protesters blocked roads and broke glass on May 31. Police used tear gas to disperse the crowd. On June 1, the city issued a state of emergency and a curfew that will continue indefinitely."
New York,Morehead City,"Peaceful protests have been taking place on Arendell Street between 6th street and 7th street from 11am to 8pm since May 31st, 2020. Organizers say they will keep demonstrating daily as long as it takes.[citation needed] About 20-25 protesters attended on May 31."
New York,Newton,More than 100 protesters gathered at the Newton Police Department and then marched through the small town on June 1.
New York,Raleigh,"On May 30, a peaceful protest event named ""A National Day of Action — Justice for George Floyd, Breonna Taylor, Ahmaud Arbery and lives cut short by Raleigh and Durham police departments,"" was organized, with crowds gathering by the Wake County Justice Center before marching up Fayetteville Street. By 6 p.m., the number of protesters had grown to around 1,000 people. Around 6:45, the protests descended into chaos as people began throwing objects at Raleigh police officers, resulting in officers using tear gas and pepper spray on the crowds. Officers continued to deploy tear gas through the evening. Nearly every storefront along Fayetteville street was vandalized. From 11:30 p.m. on May 30 through 2 a.m. May 31, people looted and vandalized downtown businesses, including breaking windows and setting fires, causing police to deploy tear gas in heavier amounts. By 6 a.m., Raleigh police reported protests in the city had ceased. 12 people were arrested and five officers were sent to hospitals, including one with a broken jaw. On June 1, the mayor of Raleigh issued a city-wide curfew from 8 p.m. to 5 a.m. in an attempt to end the riots."
New York,Wilmington,"Hundreds of people gathered near historic Wilmington City Hall at 8pm on May 31. The police arrived in fifteen minutes and by 8:45, tear gas was deployed. The mayor issued a state of emergency at 9:45. The protest was over by 10:15 with no reports of injuries or looting."
New York,Winston-Salem,"Hundreds of protesters marched from Bailey Park to the Winston-Salem Police Department on May 31. The crowd screamed ""Mama!"" while laying down in the street."
North Carolina,Asheville,Hundreds of protesters shut down parts of I-240 near the Captain Jeff Bowen bridge on May 31.
North Carolina,Charlotte,"Hundreds of protesters marched down Beatties Ford Road on May 29. Some protesters threw rocks and bottles at police, smashed the windows of police vehicles and jumped on them, and stole a bike from an officer. Police used pepper spray bullets to break up the riot. Some protesters also smashed store windows and looted in the University Park Shopping Center. On May 30, the protest grew and gathered in Uptown Charlotte, blocking traffic on Interstate 277 and later through the downtown district. The Charlotte-Mecklenburg Police Department fired tear gas and rubber bullets into the crowds. The city was also placed under a State of Emergency. City Councilman Braxton Winston was among those arrested Friday night."
North Carolina,Durham,A peaceful protest occurred in Durham on May 30. About 100 protesters marched to police headquarters on May 30.
North Carolina,Fayetteville,"A peaceful protest was organized for 3 p.m. on May 30. Hundreds marched down Skibo Road. Rapper J. Cole spoke to the crowd. It remained non-violent until that evening, when protesters burned a U.S. flag in front of the historic Market House before vandalizing and lighting fires in it."
North Carolina,Goldsboro,"A peaceful protest was held in Goldsboro on the evening of May 31 until roughly 10 p.m. The protest started on Center Street before moving to the Wayne County, North Carolina courthouse and then the local police station. ""Hands Up, Don't Shoot"", ""Black Lives Matter"" and ""no Justice, No Peace"" were the most common chants made among protesters. No vandalism was reported."
North Carolina,High Point,"Protesters blocked roads and broke glass on May 31. Police used tear gas to disperse the crowd. On June 1, the city issued a state of emergency and a curfew that will continue indefinitely."
North Carolina,Morehead City,"Peaceful protests have been taking place on Arendell Street between 6th street and 7th street from 11am to 8pm since May 31st, 2020. Organizers say they will keep demonstrating daily as long as it takes.[citation needed] About 20-25 protesters attended on May 31."
North Carolina,Newton,More than 100 protesters gathered at the Newton Police Department and then marched through the small town on June 1.
North Carolina,Raleigh,"On May 30, a peaceful protest event named ""A National Day of Action — Justice for George Floyd, Breonna Taylor, Ahmaud Arbery and lives cut short by Raleigh and Durham police departments,"" was organized, with crowds gathering by the Wake County Justice Center before marching up Fayetteville Street. By 6 p.m., the number of protesters had grown to around 1,000 people. Around 6:45, the protests descended into chaos as people began throwing objects at Raleigh police officers, resulting in officers using tear gas and pepper spray on the crowds. Officers continued to deploy tear gas through the evening. Nearly every storefront along Fayetteville street was vandalized. From 11:30 p.m. on May 30 through 2 a.m. May 31, people looted and vandalized downtown businesses, including breaking windows and setting fires, causing police to deploy tear gas in heavier amounts. By 6 a.m., Raleigh police reported protests in the city had ceased. 12 people were arrested and five officers were sent to hospitals, including one with a broken jaw. On June 1, the mayor of Raleigh issued a city-wide curfew from 8 p.m. to 5 a.m. in an attempt to end the riots."
North Carolina,Wilmington,"Hundreds of people gathered near historic Wilmington City Hall at 8pm on May 31. The police arrived in fifteen minutes and by 8:45, tear gas was deployed. The mayor issued a state of emergency at 9:45. The protest was over by 10:15 with no reports of injuries or looting."
North Carolina,Winston-Salem,"Hundreds of protesters marched from Bailey Park to the Winston-Salem Police Department on May 31. The crowd screamed ""Mama!"" while laying down in the street."
North Dakota,Bismarck,Hundreds gathered to share solidarity for the life of George Floyd at Peace Park on May 30. A witness said she saw the passenger of a pickup truck displaying a Confederate Flag and Trump 2020 regalia point a gun at the protesters.
North Dakota,Fargo,"Black Lives Matter protesters marched from Island Park past the Police Station and then south on 25th Street, as reported on May 30. Nearby Moorhead, Minnesota's African-American Mayor Johnathan Judd pressed the flesh in the crowd of thousands asking people to get more involved in their community."
Northern Mariana Islands,Saipan,"One person protested for two hours on Beach Road across Atkins Kroll in Saipan. After stating that she planned to protest there for an hour in the morning every day for the week, a dozen more people joined her the next day in her peaceful protest."
Ohio,Akron,Several hundred protesters rallied at Hardesty Park on May 30. Five men were arrested on misdemeanor charges. An 18 year old woman was hospitalized with a concussion and a broken leg after a truck veered into the crowd downtown. The driver told officers he was just trying to get away from the protesters. He has not been charged.
Ohio,Athens,About 100 people protested at Ohio University on May 30.
Ohio,Bowling Green,"400 to 500 people attended a peaceful protest, starting at the Wood County Courthouse and Jail and later moving downtown the evening of May 31."
Ohio,Canton,"Several hundred people protested the evening of May 29. Tear gas was used to disperse the crowd, and at least two arrests were made."
Ohio,Chillicothe,About 50 people protested at the Ross County courthouse the afternoon of May 30.
Ohio,Cincinnati,"Over 500 protesters gathered to protest; the protest began peacefully, with looting and vandalism occurring overnight on May 29. Protesters blocked traffic on Interstate 75. Police used ""multiple rounds"" of pepper bombs as well as pepper spray canisters to disperse the crowds of protesters. All police are on 12-hour shifts with time off being cancelled to free up space. On May 30, Cincinnati Mayor John Cranley erected a curfew beginning at 10:00 p.m. and ending at 6:00 a.m. on Saturday and Sunday in the downtown area."
Ohio,Cleveland,"According to the Cleveland Police Department, the protests starting on May 30 began peaceful however police had to disperse crowds after some protesters began throwing objects. Several businesses were vandalized and looted, and a curfew was activated beginning at 8pm and ending at 8am, local time, for Saturday May 30, 2020 and Sunday May 31, 2020. Mayor Frank G. Jackson reported in a press conference on Sunday that 66 people were arrested, 20 were hospitalized, and that the Cleveland Division of Fire responded to 20 calls of fires, ranging from structure fires, car fires and various other small fires."
Ohio,Columbus,"Main article: George Floyd protests in Columbus, Ohio Protesters broke into the Ohio Statehouse and vandalized several businesses the evening of May 28. At around 7:00 p.m. EDT, protesters blocked traffic on Interstate 71 near 15th Street. At around 9:00 p.m. protesters began throwing bottles, leading police to disperse pepper spray into the crowd. Some protesters threw the pepper spray back at police officers. Protesters then began throwing eggs, fireworks, smoke bombs, jugs of water, and shoes. Police were able to get the protesters back to N. High St. and State St. There, some protesters broke the windows of businesses and bus stops. They also smashed the front doors and windows of the state capitol building, with some gaining entrance to the Statehouse. At N. High St. and Town St. some protesters began breaking into businesses and looting from a local convenience store. Additionally, protesters tore trash cans and mailboxes from their mounts. The Ohio Theatre was also damaged. The Columbus Association for the Performing Arts estimated the damage at $15,000. Protests continued on May 29. Protesters entered the middle of Front Street, disrupting traffic. Some protesters threw water bottles, rocks, and bricks and shot fireworks at officers. Additional businesses in the Short North district were looted. Five police officers were injured during the protests. The Columbus Police Department declared an emergency. Over 100 properties were damaged throughout the night. Five people were arrested that day for setting off fireworks and creating a panic, and five police officers were injured, at least two by rocks and bricks thrown at them. On May 30, Governor Mike DeWine called in the Ohio National Guard, with Ohio Highway Patrol officers to help with law enforcement. Police have been unable to respond to regular calls due to the protests. Protests into the night involved demonstrators throwing items including rocks, water bottles, a traffic cone, a bottle of urine, and a bag of rocks. Around 9:35 p.m., the city responded to a trash fire at a construction site downtown, near where protests were held. The curfew went into effect for the first time at 10 p.m. on May 30. 59 people were arrested following the May 30 protests."
Ohio,Dayton,"A rally was called for the afternoon of May 30 at the Walter H. Rice Federal Building to honor Floyd and Ahmaud Arbery. Religious leaders and a school board member spoke. Several hundred protesters attended. Eventually, police used tear gas to disperse three different groups because they were blocking traffic."
Ohio,Delaware,About 400 people attended a vigil for George Floyd downtown the evening of May 30.
Ohio,East Liverpool,About 50 to a hundred people protested peacefully in front of city hall.
Ohio,Findlay,Dozens of people protested peacefully in front of Hancock County Courthouse.
Ohio,Hamilton,Hundreds protested the morning of May 31 by marching around the Butler County courthouse seven times.
Ohio,Lima,A peaceful protest was held the afternoon of May 30.
Ohio,Lorain,Peaceful protests occurred the afternoon of May 31 in the form of a march.
Ohio,Mansfield,Hundreds peacefully protested in Mansfield's Central Park the afternoon of May 30.
Ohio,Marion,Hundreds protested outside Marion City Hall on May 30.
Ohio,Newark,Over 150 people peacefully protested at the Licking County courthouse the afternoon of May 31.
Ohio,Norwalk,A protest was held at the Huron County courthouse[when?].
Ohio,Piqua,About 60 to 100 people protested peacefully the evening of May 31.
Ohio,Portsmouth,More than 100 people peacefully protested at Spartan Stadium and the Portsmouth Police Department on May 31.
Ohio,Sandusky,About 30 people held a peaceful protest outside the Erie County courthouse the afternoon of May 31.
Ohio,Springfield,"A large, peaceful protest took place downtown the afternoon of May 31, organized by the local NAACP chapter. After an initial dispersement that evening, a smaller group formed late in the night. After some threw rocks and other objects at police officers, tear gas canisters were deployed and some businesses were vandalized. A curfew for the downtown area was enacted the following night."
Ohio,Steubenville,"About 50 people protested May 30 in front of the city building, with the mayor joining the protestors."
Ohio,Toledo,"On Saturday, May 30, hundreds protested in Downtown Toledo. The peaceful protest turned violent, with protesters throwing objects at police officers, breaking windows, and glass doors, and damaging numerous businesses. The violent protests eventually moved to the Northwest part of the city breaking into a Target with looting, and breaking and entering other retail businesses in the same strip mall. The Mayor of Toledo issued a curfew for parts of Downtown, Toledo on Saturday May 30 from 9pm to 6am. On Sunday May 31 a peaceful protest occurred near the Franklin Park Mall, however at times blocking traffic on Monroe St. and some point walking 3 miles down to Secor Rd."
Ohio,Warren,peaceful protests commenced June 1 in the Trumbull County seat.
Ohio,Wooster,Over 100 people peacefully protested at the Wooster public square the afternoon of May 31.
Ohio,Yellow Springs,Hundreds protested peacefully.
Ohio,Youngstown,"Thousands of people participated in a peaceful march organized by The Mahoning Valley Sojourn to the Past on the afternoon of May 31, which was followed by a smaller, continuing protest in which groups blocked traffic on Interstate 680. This protest was dispersed by police. As a result of this, Youngstown and several bordering towns imposed curfews for the night of May 31."
Ohio,Zanesville,Over 500 protested in downtown Zanesville the evening of May 30.
Oklahoma,Enid,"A few dozen protesters peacefully demonstrated on Tuesday, June 2, by marching to the courthouse square at noon, chanting and waving signs for about an hour. Before the protesters dispersed, a city councilman appeared and invited them to attend that evening's city council meeting and speak during the public comment time."
Oklahoma,Norman,"Hundreds of protesters gathered in Norman on June 1, 2020 for a peaceful protest."
Oklahoma,Oklahoma City,"Hundreds of people protested peacefully during the day on May 30 and 31. However, violent demonstrations at night led to a curfew being enacted in the downtown area."
Oklahoma,Tulsa,"On Saturday, May 30, hundreds of people protested peacefully on a six-mile march through midtown. One protestor was hit by a vehicle when the protest moved onto Interstate 44, briefly shutting it down."
Oregon,Albany,"1,000 peaceful protesters lined Ellsworth Street in Downtown Albany on June 2, calling for racial justice. After 2 hours the group moved to city hall where they knelt for 9 minutes of silence in memory of George Floyd."
